Id,MSSubClass,MSZoning,LotArea,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrType,MasVnrArea,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SaleCondition
1821,50,RM,5400,OldTown,Norm,Norm,1Fam,1.5Fin,6,6,1920,1950,Gable,None,0,1044,0,436,1480,0,0,1,0,3,1,Detchd,1920,Unf,1,207,Family
1822,70,RM,9720,OldTown,Norm,Norm,1Fam,2Story,6,7,1910,2002,Gable,None,0,780,741,0,1521,0,0,1,0,4,1,Detchd,1950,Unf,3,640,Normal
1823,30,C (all),9392,IDOTRR,Norm,Norm,1Fam,1Story,3,3,1900,1950,Mansard,None,0,797,0,0,797,0,0,1,0,2,1,NA,NA,NA,0,0,Abnorml
1824,30,RL,6615,BrkSide,Norm,Norm,1Fam,1Story,6,6,1923,1950,Gable,None,0,1432,0,0,1432,0,0,1,0,3,1,BuiltIn,1923,Unf,1,216,Normal
1825,70,RL,4960,BrkSide,RRAn,Norm,1Fam,1.5Fin,5,7,1930,1982,Gable,None,0,1001,653,0,1654,0,0,2,0,3,1,Detchd,1955,Unf,1,336,Normal
1826,50,RM,6000,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1924,1950,Gable,BrkFace,444,822,320,0,1142,0,0,1,0,3,1,Attchd,1924,Fin,1,320,Normal
1827,30,RM,6120,BrkSide,Norm,Norm,1Fam,1Story,5,6,1925,1999,Gable,None,0,995,0,0,995,0,0,1,0,2,1,Detchd,1926,Unf,1,264,Abnorml
1828,50,RM,6120,BrkSide,Norm,Norm,1Fam,1.5Fin,5,6,1938,1950,Gable,None,0,994,588,0,1582,0,0,2,0,3,1,Detchd,1938,Unf,1,250,Normal
1829,30,RM,8635,BrkSide,Norm,Norm,1Fam,1Story,5,5,1925,1950,Hip,None,0,1072,0,0,1072,1,0,1,0,2,1,Detchd,1982,Unf,5,1184,Normal
1830,70,RM,8094,OldTown,Norm,Norm,1Fam,2Story,6,6,1915,1950,Gable,None,0,1048,720,0,1768,0,0,2,0,3,1,Detchd,1930,Unf,2,576,Normal
1831,70,RM,9928,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,1994,Gable,None,0,1272,672,0,1944,0,0,2,0,3,1,Detchd,1915,Unf,1,216,Normal
1832,90,RM,3000,OldTown,Norm,Norm,Duplex,2Story,5,1,1922,1950,Hip,None,0,1088,1040,0,2128,0,0,2,0,4,2,NA,NA,NA,0,0,Abnorml
1833,70,RM,6876,IDOTRR,Norm,Norm,1Fam,2Story,6,5,1927,1950,Gable,None,0,1146,784,0,1930,1,0,2,0,4,1,Attchd,1927,Unf,1,316,Normal
1834,70,RM,5775,OldTown,Feedr,Norm,1Fam,2Story,6,7,1915,2002,Gable,None,0,741,686,0,1427,0,0,1,0,3,1,Attchd,1915,Unf,1,379,Normal
1835,190,RM,5852,OldTown,Feedr,Norm,2fmCon,2.5Unf,7,5,1902,2000,Gable,Stone,188,978,886,0,1864,0,0,2,1,6,1,NA,NA,NA,0,0,Normal
1836,50,RM,5160,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1927,1950,Gable,None,0,1204,462,0,1666,0,0,1,0,3,1,Detchd,1927,Unf,1,384,Normal
1837,85,RM,5160,IDOTRR,Norm,Norm,1Fam,SFoyer,4,6,1923,1950,Hip,None,0,892,0,0,892,1,0,1,0,1,1,NA,NA,NA,0,0,Abnorml
1838,190,RM,10320,IDOTRR,Artery,Norm,2fmCon,2Story,6,7,1915,1965,Gable,None,0,754,649,0,1403,1,0,1,1,3,1,Detchd,1915,Unf,1,308,Normal
1839,20,RL,4280,Sawyer,Norm,Norm,1Fam,1Story,4,9,1946,2001,Gable,None,0,704,0,0,704,0,1,1,0,2,1,CarPort,1946,Unf,1,220,Normal
1840,90,RL,10800,Edwards,Norm,Norm,Duplex,1Story,5,5,1987,1988,Gable,None,0,1200,0,0,1200,3,0,3,0,3,1,NA,NA,NA,0,0,Alloca
1841,90,RL,10547,Edwards,Norm,Norm,Duplex,SFoyer,5,5,1978,1978,Gable,None,0,1152,0,0,1152,2,0,2,0,2,2,Detchd,1960,Unf,1,252,Normal
1842,50,RL,9780,Edwards,Norm,Norm,1Fam,1.5Fin,5,3,1934,1950,Gable,None,0,687,425,0,1112,1,0,2,0,4,1,Detchd,1934,Unf,1,226,Normal
1843,20,RL,11625,Sawyer,Norm,Norm,1Fam,1Story,5,6,1967,1967,Hip,BrkFace,172,1052,0,0,1052,0,0,1,1,3,1,Attchd,1984,Fin,1,668,Abnorml
1844,85,RL,8014,Sawyer,Norm,Norm,1Fam,SFoyer,6,5,1978,1978,Gable,BrkFace,23,1034,0,0,1034,0,1,1,0,3,1,Basment,1978,Fin,2,504,Normal
1845,80,RL,15400,Sawyer,Norm,Norm,1Fam,SLvl,5,5,1961,1961,Hip,None,0,904,611,259,1774,0,0,2,0,4,1,Attchd,1961,Unf,1,384,Normal
1846,80,RL,15312,Sawyer,Norm,Norm,1Fam,SLvl,6,5,1960,1960,Hip,BrkFace,54,1138,0,0,1138,0,1,1,0,3,1,Attchd,1960,RFn,2,480,Normal
1847,80,RL,15584,ClearCr,Norm,Norm,1Fam,SLvl,5,5,1956,1956,Hip,BrkFace,366,2071,0,0,2071,0,1,1,1,4,1,Attchd,1956,Unf,1,336,Normal
1848,20,RL,9000,Sawyer,Norm,Norm,1Fam,1Story,2,2,1947,1950,Gable,None,0,660,0,0,660,0,0,1,0,2,1,NA,NA,NA,0,0,Normal
1849,20,RL,15635,Edwards,Norm,Norm,1Fam,1Story,4,5,1954,1954,Gable,None,0,1383,0,0,1383,0,0,1,0,2,1,Attchd,1980,Unf,2,498,Normal
1850,20,RL,9571,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,None,0,1073,0,0,1073,1,0,1,0,2,1,Attchd,1956,Unf,1,340,Normal
1851,60,RL,9350,Edwards,Norm,Norm,1Fam,2Story,6,7,1946,1950,Hip,None,0,892,747,0,1639,0,0,1,1,3,1,Detchd,1946,Unf,1,240,Normal
1852,20,RL,7440,Edwards,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,None,0,1089,0,0,1089,1,0,1,0,3,1,Detchd,1954,RFn,1,252,Normal
1853,120,RL,4235,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,BrkFace,149,1049,0,0,1049,1,0,2,0,2,1,Attchd,1984,Fin,1,266,Normal
1854,80,RL,10778,SawyerW,Feedr,Norm,1Fam,SLvl,7,6,1990,1991,Gable,None,0,1061,0,0,1061,1,0,1,1,1,1,Attchd,1990,Unf,2,462,Normal
1855,80,RL,19255,SawyerW,Norm,Norm,1Fam,SLvl,6,5,1983,1983,Gable,BrkFace,100,1338,0,0,1338,0,0,1,1,2,1,Attchd,1983,Unf,2,576,Normal
1856,60,RL,10560,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1994,Gable,None,0,1079,800,0,1879,1,0,2,1,3,1,Attchd,1993,RFn,2,473,Normal
1857,70,RL,26400,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,None,0,1288,728,0,2016,0,0,1,0,4,1,Attchd,1900,Unf,2,576,Normal
1858,90,RL,7018,SawyerW,Feedr,Norm,Duplex,2Story,5,5,1979,1979,Gable,None,0,1114,1114,0,2228,0,0,2,0,6,2,Detchd,1979,Unf,2,720,Alloca
1859,90,RL,7018,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,None,0,1535,0,0,1535,0,0,2,0,4,2,Attchd,1979,Unf,2,400,Alloca
1860,90,RL,7040,SawyerW,Feedr,Norm,Duplex,SFoyer,5,5,1979,1979,Gable,BrkFace,216,1229,0,0,1229,2,0,0,2,2,2,Detchd,1979,Unf,2,672,Alloca
1861,90,RL,7007,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,None,0,1513,0,0,1513,0,0,2,0,4,2,Attchd,1979,Unf,2,400,Alloca
1862,90,RL,11855,SawyerW,Norm,Norm,Duplex,2Story,7,5,2000,2000,Hip,BrkFace,23,1168,1619,0,2787,2,0,4,2,6,2,BuiltIn,2000,Fin,4,820,Normal
1863,90,RL,7939,SawyerW,Feedr,Norm,Duplex,2Story,7,5,2000,2000,Hip,BrkFace,23,1168,1619,0,2787,2,0,4,2,6,2,BuiltIn,2000,Fin,4,820,Normal
1864,90,RL,7976,SawyerW,Feedr,Norm,Duplex,2Story,7,5,2000,2000,Hip,BrkFace,23,1168,1619,0,2787,2,0,4,2,6,2,BuiltIn,2000,Fin,4,820,Normal
1865,20,RL,10933,CollgCr,Norm,Norm,1Fam,1Story,9,5,2009,2009,Hip,Stone,242,1680,0,0,1680,1,0,1,1,1,1,Attchd,2009,Fin,3,1138,Partial
1866,20,RL,10816,CollgCr,Norm,Norm,1Fam,1Story,9,5,2008,2008,Gable,Stone,364,1720,0,0,1720,1,0,2,0,3,1,Attchd,2008,RFn,3,846,Normal
1867,20,RL,9178,CollgCr,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,None,0,1468,0,0,1468,0,0,2,0,3,1,Attchd,2008,RFn,3,904,Normal
1868,20,RL,11422,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,Stone,352,1838,0,0,1838,1,0,2,0,3,1,Attchd,2007,RFn,2,524,Normal
1869,20,RL,6762,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,None,0,1290,0,0,1290,1,0,2,0,2,1,Attchd,2007,RFn,2,662,Normal
1870,20,RL,10324,CollgCr,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,BrkFace,140,1254,0,0,1254,1,0,2,0,2,1,Attchd,2008,RFn,3,810,Normal
1871,20,RL,11645,CollgCr,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,Stone,76,1498,0,0,1498,0,0,2,0,3,1,Attchd,2005,Fin,3,844,Normal
1872,60,RL,11646,CollgCr,Norm,Norm,1Fam,2Story,6,5,2005,2006,Gable,None,0,704,718,0,1422,0,0,2,1,3,1,Attchd,2005,Fin,2,440,Normal
1873,60,RL,16698,ClearCr,Norm,Norm,1Fam,2Story,7,5,1992,1993,Gable,None,0,944,815,0,1759,1,0,2,1,3,1,Attchd,1992,Unf,2,525,Normal
1874,20,RL,9757,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,None,0,990,0,0,990,1,0,1,0,3,1,Attchd,1995,RFn,1,440,Normal
1875,20,RL,14753,CollgCr,PosN,Norm,1Fam,1Story,7,5,1998,1998,Gable,None,0,1463,0,0,1463,1,0,2,0,3,1,Attchd,1998,Fin,2,539,Normal
1876,60,RL,8750,CollgCr,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,BrkFace,120,928,844,0,1772,1,0,2,1,3,1,Attchd,1998,RFn,2,492,Normal
1877,20,RL,10739,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2001,Gable,BrkFace,68,1444,0,0,1444,1,0,2,0,3,1,Attchd,2002,RFn,2,577,Normal
1878,20,RL,11166,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,2001,Gable,BrkFace,180,1492,0,0,1492,0,0,2,0,3,1,Attchd,2001,RFn,2,608,Family
1879,20,RL,16269,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,BrkFace,76,907,0,0,907,0,0,1,0,3,1,Attchd,1978,Unf,1,343,Normal
1880,20,RL,6950,CollgCr,Norm,Norm,1Fam,1Story,5,7,1979,1979,Gable,BrkFace,40,914,0,0,914,1,0,1,0,2,1,Attchd,1979,Unf,2,444,Normal
1881,20,RL,11664,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2002,Hip,None,0,1611,0,0,1611,1,0,2,0,3,1,Attchd,2002,RFn,3,1231,Normal
1882,60,RL,12334,CollgCr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Gable,BrkFace,198,1068,1116,0,2184,0,0,2,1,4,1,BuiltIn,2003,RFn,2,570,Normal
1883,60,RL,8749,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,2002,Gable,NA,NA,840,885,0,1725,0,0,2,1,3,1,Attchd,2002,RFn,2,550,Normal
1884,60,RL,11250,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,None,0,944,926,0,1870,0,0,2,1,3,1,Attchd,2001,RFn,2,608,Normal
1885,20,RL,15750,CollgCr,Feedr,Norm,1Fam,1Story,8,5,1999,2000,Gable,BrkFace,260,1513,0,0,1513,1,0,2,0,2,1,Attchd,1999,Fin,2,521,Normal
1886,20,RL,12782,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2003,Hip,BrkFace,164,1828,0,0,1828,1,0,2,0,3,1,Attchd,2002,Fin,2,523,Normal
1887,20,RL,8750,CollgCr,Norm,Norm,1Fam,1Story,7,5,1997,1998,Gable,BrkFace,209,1417,0,0,1417,1,0,2,0,3,1,Attchd,1997,Unf,2,511,Normal
1888,20,RL,10200,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,BrkFace,180,1602,0,0,1602,1,0,2,0,3,1,Attchd,2007,RFn,3,810,Normal
1889,60,RL,11069,CollgCr,Norm,Norm,1Fam,2Story,6,5,2007,2007,Gable,None,0,608,788,0,1396,0,0,2,1,3,1,BuiltIn,2007,Fin,2,440,Normal
1890,20,RL,10682,Edwards,Norm,Norm,1Fam,1Story,4,6,1960,1971,Gable,None,0,1149,0,0,1149,1,0,1,0,3,1,2Types,1968,Fin,1,544,Normal
1891,180,RM,3675,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,BrkFace,80,1072,0,0,1072,1,0,1,0,2,1,Basment,2005,Fin,2,525,Normal
1892,20,RL,6410,Edwards,Norm,Norm,1Fam,1Story,4,5,1959,1959,Gable,None,0,876,0,0,876,0,0,1,0,3,1,Detchd,1959,Unf,1,320,Normal
1893,20,RL,11767,Edwards,Norm,Norm,1Fam,1Story,5,5,1950,1950,Gable,None,0,1368,0,0,1368,1,0,1,0,3,1,Attchd,1950,RFn,1,195,Normal
1894,90,RL,10926,Edwards,Norm,Norm,Duplex,1Story,5,5,1959,1959,Hip,BrkFace,74,1678,0,0,1678,0,0,2,0,6,2,NA,NA,NA,0,0,Normal
1895,20,RL,11767,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,BrkFace,259,1560,0,0,1560,0,0,1,0,2,1,Attchd,1956,Unf,1,313,Normal
1896,50,RL,8212,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1941,1950,Gable,None,0,854,444,0,1298,0,0,1,0,3,1,Detchd,1940,Unf,1,256,Normal
1897,50,RH,6300,SWISU,Norm,Norm,1Fam,1.5Fin,5,4,1938,1950,Gable,BrkFace,88,832,436,0,1268,0,0,1,1,3,1,Basment,1938,Unf,1,250,Abnorml
1898,70,RL,5707,SWISU,Feedr,Norm,1Fam,2Story,6,6,1935,1950,Gable,None,0,647,595,0,1242,0,0,1,1,3,1,Detchd,1926,Unf,1,180,Normal
1899,30,RL,8574,Crawfor,Norm,Norm,1Fam,1Story,6,8,1916,2000,Gable,None,0,1232,0,0,1232,0,0,1,0,3,1,Detchd,1916,Unf,2,440,Normal
1900,70,RL,7155,Crawfor,Norm,Norm,1Fam,2Story,7,8,1918,1990,Gambrel,None,0,628,600,0,1228,0,0,1,0,3,1,Detchd,1918,Unf,1,215,Normal
1901,50,RL,13680,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,None,0,840,727,0,1567,1,0,1,1,2,1,Detchd,1961,Unf,2,440,Normal
1902,20,RL,14680,Crawfor,Norm,Norm,1Fam,1Story,5,4,1960,1960,Gable,None,0,1273,0,0,1273,0,0,1,0,2,1,Attchd,1960,Unf,1,307,Normal
1903,90,RL,8145,Crawfor,Norm,Norm,Duplex,2.5Unf,7,6,1940,1950,Gable,None,0,1240,1240,0,2480,0,0,2,1,5,2,Detchd,1940,Unf,2,400,Normal
1904,20,RL,9100,Crawfor,Feedr,Norm,1Fam,1Story,5,6,1954,1954,Gable,None,0,1112,0,0,1112,1,0,1,0,2,1,Attchd,1954,Unf,1,390,Family
1905,20,RL,13339,Crawfor,Norm,Norm,1Fam,1Story,6,6,1960,1960,Gable,Stone,132,1561,0,0,1561,1,0,2,0,3,1,Attchd,1960,Fin,2,463,Normal
1906,50,RL,15600,Crawfor,Norm,Norm,1Fam,1.5Fin,5,7,1949,2005,Gable,None,0,986,537,0,1523,1,0,2,0,3,1,Attchd,1949,Unf,1,295,Normal
1907,20,RL,17500,Crawfor,PosA,Norm,1Fam,1Story,6,5,1954,1954,Gable,Stone,420,1906,0,0,1906,1,0,1,1,3,1,Basment,1954,Unf,2,576,Normal
1908,160,RM,1733,Blueste,Norm,Norm,Twnhs,2Story,6,6,1980,1980,Gable,None,0,516,516,0,1032,0,0,1,0,2,1,Detchd,1980,Unf,2,452,Normal
1909,160,RM,1488,Blueste,Norm,Norm,TwnhsE,2Story,6,6,1980,1992,Gable,None,0,561,668,0,1229,1,0,1,1,2,1,Attchd,1980,Fin,2,462,Normal
1910,160,RM,1612,Blueste,Norm,Norm,Twnhs,2Story,6,6,1980,1980,Gable,None,0,561,668,0,1229,0,0,1,1,2,1,Attchd,1980,Fin,2,462,Normal
1911,80,RL,13607,Crawfor,Norm,Norm,1Fam,SLvl,6,6,1986,1986,Gable,BrkFace,242,1182,800,0,1982,1,0,2,1,3,1,BuiltIn,1986,Fin,2,501,Normal
1912,20,RL,17597,Crawfor,Norm,Norm,1Fam,1Story,7,9,1971,2009,Hip,None,0,2365,0,0,2365,1,0,2,0,3,1,Attchd,1971,Fin,2,551,Normal
1913,70,RM,8660,IDOTRR,Norm,Norm,1Fam,2Story,5,6,1900,1993,Gambrel,None,0,928,928,312,2168,0,0,2,0,5,1,Detchd,1998,Unf,2,576,Normal
1914,30,C (all),10200,IDOTRR,Norm,Norm,1Fam,1Story,4,6,1925,1950,Gable,None,0,572,0,0,572,0,0,1,0,2,1,Detchd,1940,Unf,1,200,Normal
1915,120,RM,3843,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2007,2008,Hip,Stone,174,1648,0,0,1648,1,1,2,0,2,1,Attchd,2007,Fin,2,482,Partial
1916,30,NA,21780,IDOTRR,Norm,Norm,1Fam,1Story,2,4,1910,1950,Gable,None,0,810,0,0,810,0,0,1,0,1,1,Detchd,1975,Unf,1,280,Normal
1917,60,RL,10125,Mitchel,Norm,Norm,1Fam,2Story,8,5,2000,2001,Gable,None,0,1040,1012,0,2052,0,0,2,1,3,1,BuiltIn,2000,Fin,3,642,Normal
1918,85,RL,9750,Mitchel,Norm,Norm,1Fam,SFoyer,6,6,1977,1977,Gable,None,0,926,0,0,926,1,0,1,0,2,1,Attchd,1977,Unf,1,351,Normal
1919,85,RL,9360,Mitchel,Norm,Norm,1Fam,SFoyer,6,7,1977,1977,Gable,None,0,1287,0,0,1287,1,0,1,1,2,1,Attchd,1977,RFn,2,541,Normal
1920,20,RL,11070,Mitchel,Norm,Norm,1Fam,1Story,5,5,1991,1991,Gable,None,0,1595,0,0,1595,1,0,2,0,2,1,Detchd,1991,Unf,2,672,Abnorml
1921,20,RL,13438,Timber,Norm,Norm,1Fam,1Story,9,5,2008,2008,Gable,Stone,246,2036,0,0,2036,1,0,2,0,3,1,Attchd,2008,Fin,3,780,Normal
1922,20,RL,14463,Timber,Norm,Norm,1Fam,1Story,9,5,2008,2008,Gable,BrkFace,406,1641,0,0,1641,1,0,2,0,3,1,Attchd,2008,Fin,3,885,Normal
1923,60,RL,9839,Timber,Norm,Norm,1Fam,2Story,6,8,1980,2006,Gable,None,0,1375,862,0,2237,0,0,2,1,3,1,BuiltIn,1980,Fin,2,440,Normal
1924,80,RL,14419,Timber,Norm,Norm,1Fam,SLvl,7,5,1987,1989,Hip,BrkFace,310,1479,0,0,1479,2,0,2,1,3,1,Attchd,1987,Fin,2,578,Normal
1925,60,RL,9157,Timber,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,None,0,1072,942,0,2014,0,0,2,1,3,1,Attchd,2003,Fin,2,486,Abnorml
1926,20,RL,12633,Timber,Norm,Norm,1Fam,1Story,9,5,2007,2007,Hip,Stone,290,1978,0,0,1978,1,0,2,0,2,1,Attchd,2007,Fin,3,920,Normal
1927,20,RL,12518,Mitchel,Norm,Norm,1Fam,1Story,5,7,1968,1968,Gable,BrkFace,182,1008,0,0,1008,0,0,1,0,3,1,Attchd,1968,Unf,1,384,Normal
1928,20,RL,13383,Mitchel,Norm,Norm,1Fam,1Story,5,5,1969,2000,Hip,BrkFace,176,1404,0,0,1404,0,0,2,0,3,1,Attchd,1969,Unf,2,504,Normal
1929,85,RL,7689,Mitchel,Norm,Norm,1Fam,SFoyer,5,8,1972,1972,Gable,None,0,796,0,0,796,0,1,1,0,2,1,Detchd,1998,Unf,1,336,Normal
1930,80,RL,7706,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,None,0,1091,0,0,1091,0,1,1,0,2,1,Attchd,1993,Fin,1,429,Normal
1931,85,RL,7669,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1992,1993,Gable,None,0,883,0,0,883,1,0,1,0,2,1,Detchd,1998,Unf,2,698,Normal
1932,60,RL,10429,Mitchel,Norm,Norm,1Fam,2Story,5,5,1992,1992,Gable,None,0,624,663,0,1287,0,0,1,1,3,1,Detchd,2001,Unf,2,440,Normal
1933,60,RL,10457,Mitchel,Norm,Norm,1Fam,2Story,5,7,1969,1969,Gable,BrkFace,178,784,848,0,1632,0,0,1,1,4,1,Attchd,1969,RFn,2,898,Normal
1934,60,RL,8702,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,None,0,926,678,0,1604,0,0,2,1,3,1,Attchd,1997,Fin,2,470,Normal
1935,60,RL,8139,Gilbert,Norm,Norm,1Fam,2Story,6,5,1995,1996,Gable,BrkFace,119,680,790,0,1470,0,0,2,1,3,1,BuiltIn,1995,Fin,2,420,Normal
1936,60,RL,9535,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,None,0,926,678,0,1604,0,0,2,1,3,1,Attchd,1998,Fin,2,472,Normal
1937,60,RL,15038,Gilbert,Norm,Norm,1Fam,2Story,6,5,1996,1996,Gable,None,0,916,720,0,1636,0,0,2,1,3,1,Attchd,1996,Fin,2,386,Normal
1938,20,RL,14137,Gilbert,Norm,Norm,1Fam,1Story,5,5,1996,1997,Gable,None,0,1384,0,0,1384,1,0,2,0,3,1,Attchd,1996,Unf,2,404,Normal
1939,120,RL,6264,StoneBr,Norm,Norm,1Fam,1Story,8,5,1997,1997,Gable,None,0,1682,0,0,1682,1,0,1,1,1,1,Attchd,1997,Fin,2,528,Normal
1940,120,RL,5070,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,None,0,1280,0,0,1280,0,0,2,0,2,1,Attchd,1992,RFn,2,506,Normal
1941,60,RL,11184,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,None,0,932,701,0,1633,0,0,2,1,3,1,Attchd,1998,Fin,2,460,Family
1942,60,RL,14067,Gilbert,Norm,Norm,1Fam,2Story,6,5,1991,1991,Gable,BrkFace,194,851,858,0,1709,1,0,2,1,3,1,Attchd,1991,Fin,2,416,Normal
1943,120,RL,5950,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1989,1989,Gable,None,0,1337,0,0,1337,1,0,2,0,2,1,Attchd,1989,RFn,2,462,Normal
1944,60,RL,13543,StoneBr,Norm,Norm,1Fam,2Story,8,5,2005,2005,Gable,Stone,130,1168,1332,0,2500,0,0,3,1,5,1,BuiltIn,2005,Fin,3,683,Normal
1945,20,RL,15401,StoneBr,Norm,Norm,1Fam,1Story,9,5,2004,2004,Hip,BrkFace,296,1884,0,0,1884,1,0,2,0,2,1,Attchd,2004,Fin,3,670,Normal
1946,20,RL,31220,Gilbert,Feedr,Norm,1Fam,1Story,6,2,1952,1952,Hip,None,0,1474,0,0,1474,0,0,1,0,3,1,Attchd,1952,Unf,2,495,Normal
1947,120,RL,8118,StoneBr,PosN,PosN,TwnhsE,1Story,9,5,2007,2007,Hip,BrkFace,178,1710,0,0,1710,1,0,2,0,2,1,Attchd,2007,RFn,2,557,Normal
1948,20,RL,47280,Gilbert,Norm,Norm,1Fam,1Story,6,5,1950,1950,Hip,BrkFace,44,1488,0,0,1488,0,0,2,1,3,1,Attchd,1950,RFn,2,738,Family
1949,20,RL,12680,NWAmes,Norm,Norm,1Fam,1Story,7,6,1988,1988,Gable,BrkFace,102,1688,0,0,1688,1,0,2,0,2,1,Attchd,1988,RFn,2,528,Normal
1950,20,RL,10825,NWAmes,Norm,Norm,1Fam,1Story,7,7,1983,1983,Gable,BrkFace,174,1260,0,0,1260,1,0,2,0,3,1,Attchd,1983,Unf,2,598,Normal
1951,20,RL,18559,NWAmes,Norm,Norm,1Fam,1Story,7,5,1978,1978,Hip,BrkFace,383,2064,0,0,2064,1,0,2,0,3,1,Attchd,1978,Fin,2,550,Normal
1952,20,RL,14450,NWAmes,Norm,Norm,1Fam,1Story,7,5,1979,1979,Hip,BrkFace,194,1782,0,0,1782,0,1,2,0,3,1,Attchd,1979,Fin,2,551,Normal
1953,20,RL,13068,NWAmes,Norm,Norm,1Fam,1Story,6,5,1976,1976,Hip,BrkFace,621,1211,0,0,1211,1,0,2,0,3,1,Attchd,1976,Fin,2,461,Normal
1954,60,RL,10400,NWAmes,Norm,Norm,1Fam,2Story,7,6,1980,1988,Gable,BrkFace,280,1277,767,0,2044,0,0,2,1,3,1,Attchd,1980,Unf,2,489,Normal
1955,60,RL,9743,NWAmes,Norm,Norm,1Fam,2Story,5,6,1969,1969,Gable,None,0,720,588,0,1308,0,0,1,1,3,1,Detchd,1969,Unf,2,484,Normal
1956,60,RL,12511,NWAmes,Norm,Norm,1Fam,2Story,7,7,1978,1978,Mansard,BrkFace,168,1420,1420,0,2840,0,1,2,1,4,1,Attchd,1978,Fin,4,1314,Normal
1957,20,RL,10400,NWAmes,Norm,Norm,1Fam,1Story,6,5,1976,1976,Gable,BrkFace,120,1444,0,0,1444,0,0,2,0,2,1,Attchd,1976,Unf,2,473,Normal
1958,60,RL,14311,NWAmes,Norm,Norm,1Fam,2Story,8,5,1996,1996,Gable,BrkFace,402,1236,1104,0,2340,1,0,2,1,4,1,Attchd,1996,RFn,3,787,Normal
1959,90,RL,9000,NAmes,Norm,Norm,Duplex,2Story,5,5,1974,1974,Gable,None,0,896,896,0,1792,0,0,2,2,4,2,Detchd,1982,Unf,2,480,Normal
1960,20,RL,10295,NAmes,Norm,Norm,1Fam,1Story,4,6,1969,1969,Gable,BrkFace,72,936,0,0,936,0,0,1,0,2,1,Attchd,1969,Unf,1,288,Normal
1961,20,RL,7560,NAmes,Norm,Norm,1Fam,1Story,5,5,1971,1971,Hip,None,0,864,0,0,864,1,0,1,0,3,1,Detchd,1977,Unf,2,576,Normal
1962,160,RM,1680,BrDale,Norm,Norm,Twnhs,2Story,6,5,1973,1973,Gable,BrkFace,359,483,504,0,987,0,1,1,1,2,1,Detchd,1973,Unf,1,264,Normal
1963,160,RM,1890,BrDale,Norm,Norm,Twnhs,2Story,6,6,1972,1972,Gable,BrkFace,422,483,504,0,987,0,0,1,1,2,1,Detchd,1975,Unf,1,352,Normal
